anio,sede,equipos,partidos_jugados,goles_total
2026,Canadá / Estados Unidos / México,48,104,0
2022,Catar,32,64,172
2018,Rusia,32,64,169
2014,Brasil,32,64,171
2010,Sudáfrica,32,64,145
2006,Alemania,32,64,147
2002,Corea / Japón,32,64,161
1998,Francia,32,64,171
1994,Estados Unidos,24,52,141
1990,Italia,24,52,115
1986,México,24,52,132
1982,España,24,52,146
1978,Argentina,16,38,102
1974,Alemania Occidental,16,38,97
1970,México,16,32,95
1966,Inglaterra,16,32,89
1962,Chile,16,32,89
1958,Suecia,16,35,126
1954,Suiza,16,26,140
1950,Brasil,13,22,88
1938,Francia,16,18,84
1934,Italia,16,17,70
1930,Uruguay,13,18,70
