anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
2022,Argentina,argentina,Franco Armani,franco_armani,AR,1,16-Oct-1986,"1.89 m / 6' 2""",River Plate (ARG),jugador
2022,Argentina,argentina,Geronimo Rulli,geronimo_rulli,AR,12,20-May-1992,"1.89 m / 6' 2""",Villarreal (ESP),jugador
2022,Argentina,argentina,Emiliano Martinez,emiliano_martinez,AR,23,01-Sep-1992,"1.95 m / 6' 5""",Aston Villa (ING),jugador
2022,Argentina,argentina,Juan Foyth,juan_foyth,DF,2,12-Ene-1998,"1.88 m / 6' 2""",Villarreal (ESP),jugador
2022,Argentina,argentina,Nicolas Tagliafico,nicolas_tagliafico,DF,3,31-Ago-1992,"1.72 m / 5' 8""",Olympique de Lyon (FRA),jugador
2022,Argentina,argentina,Gonzalo Montiel,gonzalo_montiel,DF,4,01-Ene-1997,"1.75 m / 5' 9""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,German Pezzella,german_pezzella,DF,6,27-Jun-1991,"1.90 m / 6' 3""",Real Betis (ESP),jugador
2022,Argentina,argentina,Cristian Romero,cristian_romero,DF,13,27-Apr-1998,"1.85 m / 6' 1""",Tottenham Hotspur (ING),jugador
2022,Argentina,argentina,Nicolas Otamendi,nicolas_otamendi,DF,19,12-Feb-1988,"1.83 m / 6' 0""",Benfica (POR),jugador
2022,Argentina,argentina,Lisandro Martinez,lisandro_martinez,DF,25,18-Ene-1998,"1.75 m / 5' 9""",Manchester United (ING),jugador
2022,Argentina,argentina,Nahuel Molina,nahuel_molina,DF,26,06-Apr-1998,"1.78 m / 5' 10""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Leandro Paredes,leandro_paredes,MC,5,29-Jun-1994,"1.82 m / 5' 12""",Juventus (ITA),jugador
2022,Argentina,argentina,Rodrigo De Paul,rodrigo_de_paul,MC,7,24-May-1994,"1.80 m / 5' 11""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Marcos Acuña,marcos_acuna,MC,8,28-Oct-1991,"1.72 m / 5' 8""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,Exequiel Palacios,exequiel_palacios,MC,14,05-Oct-1998,"1.77 m / 5' 10""",Bayer Leverkusen (ALE),jugador
2022,Argentina,argentina,Thiago Almada,thiago_almada,MC,16,26-Apr-2001,"1.71 m / 5' 7""",Atlanta United FC (USA),jugador
2022,Argentina,argentina,Alejandro Gomez,alejandro_gomez,MC,17,15-Feb-1988,"1.67 m / 5' 6""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,Guido Rodriguez,guido_rodriguez,MC,18,12-Apr-1994,"1.86 m / 6' 1""",Real Betis (ESP),jugador
2022,Argentina,argentina,Alexis Mac Allister,alexis_mac_allister,MC,20,24-Dic-1998,"1.76 m / 5' 9""",Brighton & Hove Albion (ING),jugador
2022,Argentina,argentina,Enzo Fernandez,enzo_fernandez,MC,24,17-Ene-2001,"1.78 m / 5' 10""",Benfica (POR),jugador
2022,Argentina,argentina,Julian Alvarez,julian_alvarez,DL,9,31-Ene-2000,"1.70 m / 5' 7""",Manchester City (ING),jugador
2022,Argentina,argentina,Lionel Messi,lionel_messi,DL,10,24-Jun-1987,"1.70 m / 5' 7""",PSG (FRA),jugador
2022,Argentina,argentina,Angel Di Maria,angel_di_maria,DL,11,14-Feb-1988,"1.78 m / 5' 10""",Juventus (ITA),jugador
2022,Argentina,argentina,Ángel Correa,angel_correa,DL,15,09-Mar-1995,"1.74 m / 5' 9""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Paulo Dybala,paulo_dybala,DL,21,15-Nov-1993,"1.77 m / 5' 10""",Roma (ITA),jugador
2022,Argentina,argentina,Lautaro Martinez,lautaro_martinez,DL,22,22-Ago-1997,"1.74 m / 5' 9""",Inter (ITA),jugador
2022,Argentina,argentina,Lionel Scaloni,,DT,,,,,entrenador
2022,Francia,francia,Hugo Lloris,hugo_lloris,AR,1,26-Dic-1986,"1.88 m / 6' 2""",Tottenham Hotspur (ING),jugador
2022,Francia,francia,Steve Mandanda,steve_mandanda,AR,16,28-Mar-1985,"1.87 m / 6' 2""",Stade Rennais (FRA),jugador
2022,Francia,francia,Alphonse Areola,alphonse_areola,AR,23,27-Feb-1993,"1.95 m / 6' 5""",Fulham (ING),jugador
2022,Francia,francia,Benjamin Pavard,benjamin_pavard,DF,2,28-Mar-1996,"1.86 m / 6' 1""",Bayern Munich (ALE),jugador
2022,Francia,francia,Axel Disasi,axel_disasi,DF,3,11-Mar-1998,"1.90 m / 6' 3""",AS Monaco FC (FRA),jugador
2022,Francia,francia,Raphael Varane,raphael_varane,DF,4,25-Apr-1993,"1.91 m / 6' 3""",Manchester United (ING),jugador
2022,Francia,francia,Jules Koundé,jules_kounde,DF,5,12-Nov-1998,"1.78 m / 5' 10""",FC Barcelona (ESP),jugador
2022,Francia,francia,Youssouf Fofana,youssouf_fofana,DF,13,10-Ene-1999,"1.78 m / 5' 10""",AS Monaco FC (FRA),jugador
2022,Francia,francia,William Saliba,william_saliba,DF,17,24-Mar-2001,"1.92 m / 6' 4""",Arsenal (ING),jugador
2022,Francia,francia,Dayot Upamecano,dayot_upamecano,DF,18,27-Oct-1998,"1.86 m / 6' 1""",Bayern Munich (ALE),jugador
2022,Francia,francia,Lucas Hernandez,lucas_hernandez,DF,21,14-Feb-1996,"1.84 m / 6' 0""",Bayern Munich (ALE),jugador
2022,Francia,francia,Théo Hernandez,theo_hernandez,DF,22,06-Oct-1997,"1.84 m / 6' 0""",Milan (ITA),jugador
2022,Francia,francia,Ibrahima Konaté,ibrahima_konate,DF,24,25-May-1999,"1.94 m / 6' 4""",Liverpool (ING),jugador
2022,Francia,francia,Mattéo Guendouzi,matteo_guendouzi,MC,6,14-Apr-1999,"1.84 m / 6' 0""",Olympique de Marseille (FRA),jugador
2022,Francia,francia,Aurélien Tchouaméni,aurelien_tchouameni,MC,8,27-Ene-2000,"1.87 m / 6' 2""",Real Madrid CF (ESP),jugador
2022,Francia,francia,Adrien Rabiot,adrien_rabiot,MC,14,03-Apr-1995,"1.91 m / 6' 3""",Young Boys (SUI),jugador
2022,Francia,francia,Jordan Veretout,jordan_veretout,MC,15,01-Mar-1993,"1.77 m / 5' 10""",Olympique de Marseille (FRA),jugador
2022,Francia,francia,Eduardo Camavinga,eduardo_camavinga,MC,25,10-Nov-2002,"1.82 m / 5' 12""",Real Madrid CF (ESP),jugador
2022,Francia,francia,Antoine Griezmann,antoine_griezmann,DL,7,21-Mar-1991,"1.73 m / 5' 8""",Atlético Madrid (ESP),jugador
2022,Francia,francia,Olivier Giroud,olivier_giroud,DL,9,30-Sep-1986,"1.93 m / 6' 4""",Milan (ITA),jugador
2022,Francia,francia,Kylian Mbappé,kylian_mbappe,DL,10,20-Dic-1998,"1.78 m / 5' 10""",PSG (FRA),jugador
2022,Francia,francia,Ousmane Dembélé,ousmane_dembele,DL,11,15-May-1997,"1.79 m / 5' 10""",FC Barcelona (ESP),jugador
2022,Francia,francia,Randal Kolo Muani,randal_kolo_muani,DL,12,05-Dic-1998,"1.87 m / 6' 2""",Eintracht Braunschweig (ALE),jugador
2022,Francia,francia,Karim Benzema,karim_benzema,DL,19,19-Dic-1987,"1.85 m / 6' 1""",Real Madrid CF (ESP),jugador
2022,Francia,francia,Kingsley Coman,kingsley_coman,DL,20,13-Jun-1996,"1.80 m / 5' 11""",Bayern Munich (ALE),jugador
2022,Francia,francia,Marcus Thuram,marcus_thuram,DL,26,06-Ago-1997,"1.92 m / 6' 4""",Borussia Mönchengladbach (ALE),jugador
2022,Francia,francia,Didier Deschamps,,DT,,,,,entrenador
