entrenador_id,nombre
1,Félix Sánches
2,Gustavo Alfaro
3,Gareth Southgate
4,Carlos Queiroz
5,Aliou Cisse
6,Louis Van Gaal
7,Gregg Berhalter
8,Rob Page
9,Lionel Scaloni
10,Herve Renard
11,Kasper Hjulmand
12,Jalel Kadri
13,Gerardo Martino
14,Czeslaw Michniewicz
15,Didier Deschamps
16,Arnold Graham
17,Walid Regragui
18,Zlatko Dalic
19,Hansi Flick
20,Hajime Moriyasu
21,Luis Enrique
22,Luis Fernando Suarez
23,Roberto Martinez
24,John Herdman
25,Murat Yakin
26,Rigobert Song
27,Diego Alonso
28,Paulo Bento
29,Fernando Santos
30,Otto Addo
31,Tite
32,Dragan Stojković
